name,code,row,col
Ford,Ford,1,3
Iroquois,Iroquois,1,4
McLean,McLean,1,2
De Witt,De Witt,2,1
Champaign,Champaign,2,3
Vermilion,Vermilion,2,4
Piatt,Piatt,2,2
Douglas,Douglas,3,3
Edgar,Edgar,3,4
Macon,Macon,3,1
Moultrie,Moultrie,3,2
