"date","real","first_dose","new_dose1","avg_daily_first_dose","pct"
2021-01-29,"Actual",23517,857,1071.28571428571,0.111994780529852
2021-01-30,"Actual",23989,472,1093.14285714286,0.114242581542315
2021-01-31,"Actual",24684,695,1190,0.117552373287361
2021-02-01,"Actual",25144,460,1235.85714285714,0.119743026816457
2021-02-02,"Actual",26834,1690,1174.14285714286,0.127791297390741
2021-02-03,"Projected",28008.1428571429,NA,1174.14285714286,0.133382906507398
2021-02-04,"Projected",29182.2857142857,NA,1174.14285714286,0.138974515624054
2021-02-05,"Projected",30356.4285714286,NA,1174.14285714286,0.14456612474071
2021-02-06,"Projected",31530.5714285714,NA,1174.14285714286,0.150157733857367
2021-02-07,"Projected",32704.7142857143,NA,1174.14285714286,0.155749342974023
2021-02-08,"Projected",33878.8571428572,NA,1174.14285714286,0.16134095209068
2021-02-09,"Projected",35053,NA,1174.14285714286,0.166932561207336
2021-02-10,"Projected",36227.1428571429,NA,1174.14285714286,0.172524170323992
2021-02-11,"Projected",37401.2857142857,NA,1174.14285714286,0.178115779440649
2021-02-12,"Projected",38575.4285714286,NA,1174.14285714286,0.183707388557305
2021-02-13,"Projected",39749.5714285714,NA,1174.14285714286,0.189298997673961
2021-02-14,"Projected",40923.7142857143,NA,1174.14285714286,0.194890606790618
2021-02-15,"Projected",42097.8571428571,NA,1174.14285714286,0.200482215907274
2021-02-16,"Projected",43272,NA,1174.14285714286,0.20607382502393
2021-02-17,"Projected",44446.1428571428,NA,1174.14285714286,0.211665434140587
2021-02-18,"Projected",45620.2857142857,NA,1174.14285714286,0.217257043257243
2021-02-19,"Projected",46794.4285714286,NA,1174.14285714286,0.2228486523739
2021-02-20,"Projected",47968.5714285714,NA,1174.14285714286,0.228440261490556
2021-02-21,"Projected",49142.7142857143,NA,1174.14285714286,0.234031870607212
2021-02-22,"Projected",50316.8571428571,NA,1174.14285714286,0.239623479723869
2021-02-23,"Projected",51491,NA,1174.14285714286,0.245215088840525
2021-02-24,"Projected",52665.1428571428,NA,1174.14285714286,0.250806697957181
2021-02-25,"Projected",53839.2857142857,NA,1174.14285714286,0.256398307073838
2021-02-26,"Projected",55013.4285714285,NA,1174.14285714286,0.261989916190494
2021-02-27,"Projected",56187.5714285714,NA,1174.14285714286,0.267581525307151
2021-02-28,"Projected",57361.7142857143,NA,1174.14285714286,0.273173134423807
2021-03-01,"Projected",58535.8571428571,NA,1174.14285714286,0.278764743540463
2021-03-02,"Projected",59710,NA,1174.14285714286,0.28435635265712
2021-03-03,"Projected",60884.1428571428,NA,1174.14285714286,0.289947961773776
2021-03-04,"Projected",62058.2857142857,NA,1174.14285714286,0.295539570890432
2021-03-05,"Projected",63232.4285714285,NA,1174.14285714286,0.301131180007089
2021-03-06,"Projected",64406.5714285714,NA,1174.14285714286,0.306722789123745
2021-03-07,"Projected",65580.7142857142,NA,1174.14285714286,0.312314398240402
